index,label,split
0,7,train
1,7,train
2,8,train
3,8,train
4,0,val
5,9,train
6,3,test
7,2,train
8,2,train
9,2,val
10,8,train
11,1,train
12,3,train
13,7,test
14,7,train
15,9,test
16,2,train
17,2,val
18,6,train
19,7,val
20,9,train
21,6,test
22,3,train
23,5,train
24,0,train
25,1,train
26,2,train
27,7,test
28,7,train
29,5,train
30,2,train
31,5,test
32,9,train
33,2,train
34,5,train
35,7,train
36,5,train
37,3,train
38,0,train
39,6,test
40,9,train
41,7,val
42,2,train
43,9,train
44,6,train
45,6,test
46,8,train
47,9,train
48,1,train
49,8,train
50,2,train
51,6,train
52,2,val
53,3,train
54,0,val
55,6,train
56,3,train
57,7,test
58,9,train
59,1,train
60,2,train
61,7,train
62,7,val
63,3,train
64,7,train
65,6,val
66,3,train
67,3,train
68,1,train
69,8,val
70,1,test
71,6,test
72,7,train
73,8,test
74,7,test
75,6,train
76,6,val
77,5,val
78,5,train
79,8,train
80,5,train
81,5,val
82,5,train
83,2,train
84,5,test
85,9,train
86,2,train
87,3,test
88,8,train
89,7,train
90,8,train
91,2,train
92,3,test
93,0,train
94,0,train
95,1,train
96,1,train
97,4,test
98,2,train
99,7,train
100,1,train
101,8,val
102,1,train
103,2,train
104,6,train
105,0,train
106,0,val
107,3,train
108,0,train
109,2,train
110,8,val
111,5,train
112,7,val
113,2,test
114,5,train
115,9,train
116,3,train
117,7,train
118,5,val
119,8,train
120,8,test
121,3,test
122,1,train
123,7,train
124,6,train
125,8,train
126,1,train
127,3,val
128,4,val
129,1,val
130,5,train
131,8,test
132,1,train
133,3,train
134,8,test
135,9,train
136,0,train
137,9,test
138,0,train
139,5,train
140,7,train
141,3,val
142,5,train
143,5,train
144,3,test
145,0,test
146,6,val
147,9,train
148,6,test
149,8,train
150,1,train
151,0,train
152,7,test
153,7,val
154,0,test
155,5,train
156,8,val
157,7,test
158,6,train
159,9,test
160,9,val
161,1,train
162,8,train
163,1,test
164,2,train
165,1,train
166,1,train
167,9,train
168,2,train
169,7,test
170,7,train
171,5,train
172,9,train
173,9,val
174,1,test
175,6,val
176,9,val
177,1,train
178,2,test
179,9,test
180,6,test
181,6,train
182,7,train
183,6,test
184,1,train
185,1,train
186,3,val
187,3,test
188,7,val
189,9,train
190,7,test
191,2,train
192,1,train
193,5,train
194,9,train
195,7,test
196,6,val
197,1,train
198,1,train
199,7,train
200,2,val
201,3,train
202,3,test
203,2,val
204,3,train
205,9,train
206,9,train
207,1,train
208,7,train
209,4,train
210,3,train
211,2,val
212,8,train
213,0,train
214,0,val
215,4,train
216,6,val
217,3,test
218,7,test
219,5,train
220,9,test
221,6,train
222,7,train
223,3,train
224,6,train
225,2,test
226,1,train
227,1,test
228,3,train
229,0,train
230,1,train
231,7,train
232,1,val
233,6,train
234,3,train
235,5,train
236,9,train
237,7,train
238,5,train
239,1,test
240,2,test
241,7,test
242,5,val
243,2,val
244,1,val
245,8,train
246,7,train
247,1,train
248,0,train
249,7,val
250,2,train
251,5,test
252,6,val
253,7,train
254,3,train
255,7,train
256,4,train
257,9,train
258,2,train
259,3,train
260,9,train
261,0,train
262,3,val
263,2,train
264,9,train
265,2,train
266,3,test
267,7,train
268,2,val
269,2,val
270,7,test
271,3,train
272,7,test
273,6,train
274,7,train
275,9,test
276,9,train
277,6,train
278,8,train
279,5,val
280,1,train
281,5,train
282,2,train
283,5,train
284,1,train
285,9,train
286,3,train
287,7,train
288,7,train
289,2,train
290,1,train
291,6,train
292,0,val
293,3,train
294,7,train
295,5,test
296,2,test
297,1,train
298,8,train
299,9,val
300,7,val
301,8,train
302,9,val
303,1,train
304,4,train
305,9,train
306,2,test
307,1,train
308,0,train
309,8,train
310,2,val
311,0,val
312,3,train
313,9,train
314,0,train
315,2,train
316,1,train
317,5,train
318,3,train
319,3,train
320,5,train
321,9,train
322,5,test
323,5,train
324,6,train
325,2,train
326,4,val
327,6,train
328,8,train
329,0,train
330,7,train
331,2,train
332,1,train
333,6,train
334,3,train
335,7,train
336,5,train
337,7,val
338,6,test
339,7,train
340,6,train
341,5,val
342,3,val
343,3,val
344,8,val
345,8,train
346,5,train
347,2,test
348,9,train
349,3,train
350,1,train
351,3,train
352,6,train
353,7,train
354,2,train
355,3,train
356,7,train
357,3,train
358,5,train
359,2,train
360,2,train
361,3,val
362,2,train
363,7,test
364,8,train
365,9,val
366,8,val
367,0,train
368,9,test
369,0,train
370,7,test
371,9,train
372,5,train
373,6,train
374,1,val
375,9,train
376,6,train
377,1,test
378,9,train
379,8,train
380,6,train
381,9,val
382,5,train
383,3,train
384,2,test
385,2,train
386,8,train
387,7,val
388,7,train
389,5,train
390,2,test
391,8,train
392,3,val
393,0,train
394,2,train
395,9,val
396,7,train
397,6,test
398,2,train
399,5,train
400,3,train
401,5,train
402,3,train
403,7,train
404,7,train
405,2,train
406,9,train
407,3,train
408,3,train
409,9,train
410,5,test
411,3,train
412,2,val
413,2,train
414,9,val
415,4,train
416,5,train
417,7,train
418,0,train
419,7,train
420,8,train
421,7,test
422,5,test
423,7,val
424,5,test
425,8,val
426,8,train
427,5,train
428,5,train
429,6,train
430,2,train
431,5,test
432,6,test
433,9,val
434,3,val
435,1,train
436,1,train
437,3,train
438,2,train
439,2,train
440,5,val
441,5,val
442,9,train
443,4,train
444,1,train
445,2,train
446,3,train
447,9,train
448,3,test
449,3,train
450,6,train
451,6,val
452,5,train
453,8,train
454,7,val
455,1,train
456,9,train
457,5,train
458,5,val
459,5,train
460,7,train
461,1,train
462,6,train
463,9,val
464,6,val
465,5,train
466,5,train
467,6,train
468,6,train
469,7,train
470,2,val
471,9,val
472,6,test
473,0,train
474,3,val
475,9,train
476,5,val
477,0,train
478,3,train
479,9,val
480,7,train
481,3,train
482,5,train
483,1,train
484,9,train
485,7,val
486,7,train
487,1,val
488,1,val
489,5,train
490,6,train
491,2,train
492,7,test
493,5,train
494,7,train
495,1,val
496,4,test
497,9,train
498,2,train
499,3,train
500,3,train
501,9,train
502,9,train
503,6,test
504,3,train
505,5,train
506,7,train
507,2,train
508,3,val
509,6,train
510,9,train
511,7,train
512,6,val
513,7,val
514,5,train
515,2,test
516,8,train
517,3,train
518,7,train
519,7,train
520,5,train
521,1,train
522,3,test
523,1,train
524,2,train
525,5,train
526,2,test
527,5,test
528,2,train
529,2,test
530,7,train
531,3,train
532,1,train
533,3,test
534,1,train
535,5,train
536,5,test
537,5,train
538,1,train
539,8,train
540,1,test
541,7,train
542,2,train
543,3,train
544,8,val
545,8,val
546,5,train
547,6,train
548,8,train
549,2,test
550,6,val
551,2,train
552,2,train
553,1,train
554,7,val
555,6,train
556,1,train
557,7,train
558,8,val
559,3,train
560,2,train
561,5,val
562,9,train
563,2,train
564,6,test
565,8,train
566,3,val
567,9,train
568,5,train
569,9,train
570,4,train
571,3,train
572,8,train
573,0,train
574,3,test
575,4,train
576,2,train
577,7,train
578,8,train
579,9,train
580,7,val
581,8,val
582,7,train
583,9,val
584,5,train
585,2,train
586,8,train
587,0,train
588,2,train
589,5,train
590,3,train
591,8,val
592,7,test
593,2,train
594,6,train
595,5,train
596,5,train
597,9,train
598,6,val
599,0,test
600,5,train
601,8,val
602,5,train
603,7,train
604,2,train
605,9,test
606,2,train
607,9,train
608,7,train
609,6,train
610,7,test
611,2,val
612,1,train
613,3,train
614,1,val
615,8,train
616,1,train
617,8,test
618,6,test
619,3,train
620,2,train
621,6,val
622,6,val
623,5,train
624,5,train
625,6,train
626,2,train
627,2,train
628,9,train
629,3,test
630,8,train
631,6,test
632,9,train
633,9,train
634,3,train
635,6,train
636,6,train
637,8,train
638,2,train
639,5,train
640,6,train
641,7,train
642,4,train
643,4,train
644,3,train
645,0,train
646,8,train
647,7,val
648,6,train
649,1,train
650,3,train
651,2,train
652,7,train
653,2,train
654,5,test
655,8,test
656,7,val
657,6,val
658,5,test
659,7,train
660,5,val
661,1,train
662,2,train
663,8,train
664,6,train
665,7,train
666,6,train
667,3,train
668,8,train
669,4,train
670,8,test
671,2,train
672,7,train
673,0,train
674,5,train
675,8,train
676,7,train
677,5,val
678,3,train
679,1,val
680,6,train
681,7,val
682,7,train
683,2,train
684,5,train
685,0,train
686,2,train
687,9,train
688,5,train
689,0,train
690,6,train
691,9,train
692,6,train
693,3,train
694,3,train
695,2,test
696,5,train
697,5,test
698,3,train
699,9,train
700,8,train
701,5,train
702,3,test
703,6,train
704,7,train
705,7,train
706,7,train
707,2,train
708,0,train
709,5,train
710,9,train
711,3,train
712,6,test
713,3,train
714,5,train
715,5,train
716,9,train
717,9,train
718,0,train
719,3,train
720,5,train
721,6,train
722,1,test
723,5,test
724,2,train
725,5,train
726,7,train
727,0,train
728,2,train
729,6,train
730,2,train
731,2,train
732,6,train
733,7,train
734,6,train
735,2,train
736,7,train
737,7,train
738,7,val
739,0,train
740,8,train
741,2,train
742,4,train
743,2,test
744,7,train
745,7,train
746,2,train
747,9,train
748,2,train
749,9,train
750,9,val
751,1,train
752,1,train
753,5,train
754,6,train
755,5,val
756,9,train
757,3,train
758,8,train
759,7,train
760,5,train
761,6,train
762,5,train
763,1,train
764,3,train
765,2,train
766,9,test
767,7,val
768,8,train
769,1,train
770,6,train
771,6,train
772,7,train
773,6,train
774,5,train
775,0,train
776,2,train
777,9,train
778,7,train
779,1,test
780,2,train
781,1,train
782,8,train
783,1,test
784,5,train
785,6,test
786,8,train
787,6,val
788,7,val
789,9,train
790,7,train
791,9,train
792,9,train
793,1,val
794,7,train
795,2,train
796,8,train
797,8,val
798,6,train
799,2,test
800,1,train
801,2,train
802,6,train
803,3,train
804,2,train
805,1,train
806,3,train
807,8,val
808,0,train
809,1,train
810,0,train
811,7,train
812,1,test
813,7,train
814,3,train
815,5,train
816,1,train
817,4,train
818,3,train
819,1,train
820,7,train
821,2,test
822,9,train
823,6,val
824,1,train
825,9,train
826,9,train
827,7,train
828,5,test
829,5,train
830,1,train
831,0,train
832,3,train
833,9,train
834,5,train
835,8,train
836,5,val
837,3,val
838,8,train
839,1,train
840,7,train
841,5,train
842,9,train
843,3,train
844,6,val
845,6,train
846,6,test
847,6,test
848,7,val
849,6,train
850,5,train
851,7,val
852,1,train
853,3,train
854,2,val
855,2,val
856,6,train
857,2,val
858,0,train
859,6,val
860,2,train
861,5,test
862,3,train
863,7,train
864,7,train
865,3,val
866,5,test
867,9,val
868,6,train
869,8,test
870,7,train
871,5,train
872,0,train
873,8,val
874,7,train
875,2,train
876,7,train
877,5,val
878,3,train
879,1,train
880,1,val
881,1,test
882,7,test
883,9,train
884,7,train
885,6,train
886,8,val
887,1,train
888,6,train
889,2,train
890,2,train
891,8,train
892,0,train
893,8,train
894,2,val
895,3,train
896,2,test
897,6,train
898,6,train
899,6,train
900,6,train
901,0,test
902,8,train
903,7,train
904,7,train
905,7,val
906,3,train
907,6,train
908,6,train
909,0,train
910,7,train
911,8,test
912,8,test
913,7,train
914,8,train
915,7,train
916,3,train
917,2,train
918,7,train
919,0,train
920,5,train
921,5,train
922,1,train
923,5,train
924,9,val
925,3,test
926,2,test
927,1,val
928,9,train
929,4,test
930,5,train
931,9,train
932,6,test
933,2,train
934,7,train
935,3,train
936,0,test
937,2,val
938,8,test
939,3,train
940,3,train
941,5,val
942,9,train
943,6,train
944,1,train
945,1,test
946,7,train
947,6,train
948,8,train
949,2,train
950,3,test
951,9,val
952,9,train
953,8,train
954,3,train
955,2,train
956,0,train
957,7,train
958,7,train
959,3,train
960,7,train
961,2,val
962,1,train
963,6,train
964,1,train
965,5,train
966,5,train
967,5,train
968,3,train
969,2,train
970,5,train
971,3,train
972,5,train
973,2,train
974,3,train
975,0,train
976,0,test
977,3,train
978,5,train
979,5,train
980,9,val
981,7,train
982,0,val
983,9,train
984,3,test
985,7,train
986,9,train
987,5,train
988,2,test
989,3,train
990,1,train
991,1,train
992,7,test
993,8,train
994,6,train
995,3,train
996,1,train
997,0,train
998,1,test
999,3,train
1000,0,test
1001,7,train
1002,9,train
1003,6,val
1004,9,test
1005,6,val
1006,6,train
1007,5,test
1008,3,train
1009,9,train
1010,8,test
1011,7,train
1012,9,train
1013,2,val
1014,2,train
1015,0,train
1016,3,val
1017,7,train
1018,2,val
1019,6,val
1020,9,train
1021,7,train
1022,7,train
1023,6,train
1024,1,train
1025,7,train
1026,5,test
1027,2,val
1028,6,train
1029,2,test
1030,5,train
1031,5,train
1032,3,train
1033,0,val
1034,1,train
1035,7,train
1036,7,train
1037,5,train
1038,5,train
1039,6,val
1040,7,train
1041,1,val
1042,1,train
1043,3,train
1044,7,train
1045,7,train
1046,1,test
1047,7,test
1048,0,val
1049,2,val
1050,6,train
1051,9,train
1052,9,train
1053,8,val
1054,3,train
1055,7,val
1056,9,train
1057,3,train
1058,1,train
1059,3,train
