dr8_id,strat_label,split
8000_100002_1329,0,train
8000_100010_3193,0,val
8000_100012_3428,1,train
8000_100014_3092,0,train
8000_100016_2065,0,train
8000_100017_1848,0,test
8000_100028_3947,1,train
8000_100030_153,0,train
8000_100031_2101,0,train
8000_100033_708,0,val
8000_100035_279,0,train
8000_100038_4449,0,train
8000_100039_859,0,train
8000_100039_920,0,test
8000_100041_1997,0,test
8000_100041_72,0,train
8000_100044_3957,0,train
8000_100046_3089,0,train
8000_100046_4123,0,val
8000_100048_1612,0,train
8000_100048_966,0,train
8000_100049_1134,0,train
8000_100049_2118,0,train
8000_100050_1932,0,train
8000_100050_2952,1,train
8000_100050_3108,0,test
8000_100050_928,0,train
8000_100056_2805,1,train
8000_100058_1633,0,test
8000_100059_3893,0,test
8000_100060_3012,0,train
8000_100063_2259,0,val
8000_100067_4717,0,train
8000_100070_1353,0,train
8000_100074_1054,0,train
8000_100077_308,0,train
8000_100077_3869,1,train
8000_100083_6292,0,val
8000_100085_2884,0,train
8000_100089_4058,1,train
8000_100091_2979,0,train
8000_100093_125,0,val
8000_100093_1268,0,train
8000_100095_3956,0,test
8000_100097_5931,0,train
8000_100106_1745,0,train
8000_100108_1792,0,train
8000_100110_1033,0,val
8000_100118_749,0,train
8000_100125_5116,0,train
8000_100129_4845,1,train
8000_100130_3505,0,val
8000_100132_2540,0,train
8000_100134_1249,1,val
8000_100134_858,0,val
8000_100135_3528,0,train
8000_100136_1380,1,train
8000_100137_1379,0,train
8000_100137_4070,1,train
8000_100138_1720,0,train
8000_100143_1715,0,train
8000_100144_3323,0,train
8000_100148_5153,0,train
8000_100150_2169,0,test
8000_100151_1222,0,train
8000_100151_1575,0,val
8000_100151_2018,1,train
8000_100153_1933,0,train
8000_100153_472,0,train
8000_100154_2564,0,train
8000_100155_2572,1,train
8000_100155_812,0,train
8000_100158_2262,0,val
8000_100165_41,0,train
8000_100167_3052,0,val
8000_100167_3601,0,train
8000_100168_379,0,val
8000_100171_3223,0,train
8000_100172_3559,0,train
8000_100173_2088,0,train
8000_100174_3785,1,test
8000_100175_2456,0,train
8000_100179_3189,0,val
8000_100183_4242,0,test
8000_100183_917,1,train
8000_100789_4585,0,test
8000_100792_2878,1,train
8000_100792_3715,0,train
8000_100793_4735,0,val
8000_100795_6292,1,val
8000_100797_633,0,test
8000_100813_4226,1,train
8000_100813_4343,0,val
8000_100813_6280,0,train
8000_100814_2438,0,train
8000_100815_2666,0,val
8000_100819_7132,0,train
8000_100820_1169,0,val
8000_100821_2960,0,train
8000_100821_6057,0,train
8000_100821_719,0,train
8000_100823_5205,0,test
8000_100827_128,0,val
8000_100831_3336,1,train
8000_100837_5137,0,train
8000_100838_6604,0,train
8000_100841_2357,1,train
8000_100841_7288,0,test
8000_100843_7574,0,test
8000_100844_1636,0,train
8000_100845_5554,0,train
8000_100848_4348,0,train
8000_100848_4562,1,train
8000_100848_5326,0,train
8000_100851_7319,0,test
8000_100853_5368,1,train
8000_100855_6382,0,train
8000_100856_2111,0,val
8000_100860_3252,1,train
8000_100861_2689,0,val
8000_100861_4788,1,train
8000_100864_3087,0,val
8000_100867_652,0,train
8000_100871_2639,1,test
8000_100873_5063,0,train
8000_100879_1612,0,train
8000_100887_1377,1,train
8000_100888_1461,0,train
8000_100889_627,0,train
8000_100893_3353,0,train
8000_100893_589,0,train
8000_100897_1280,0,train
8000_100902_2365,0,train
8000_100903_1747,1,train
8000_100903_3492,0,train
8000_100903_4074,1,train
8000_100907_4186,0,train
8000_100910_3102,0,test
8000_100911_2766,0,train
8000_100912_1552,0,train
8000_100916_2409,0,test
8000_100921_4950,0,train
8000_100921_780,0,train
8000_100921_806,0,train
8000_100924_2397,0,train
8000_100924_445,1,test
8000_100925_5212,0,train
8000_100927_837,1,train
8000_100930_5246,0,train
8000_100936_4953,1,train
8000_100937_1377,0,train
8000_100937_976,0,train
8000_100939_2880,0,train
8000_100939_3311,0,train
8000_100942_832,0,train
8000_100943_2249,1,train
8000_100951_849,0,val
8000_100955_161,0,train
8000_100967_1554,0,train
8000_100974_224,0,val
8000_100983_830,0,val
8000_100985_1323,0,val
8000_100986_247,0,test
8000_100988_1953,1,test
8000_100991_3518,0,train
8000_100995_2195,0,train
8000_100998_3296,0,val
8000_100998_4763,0,train
8000_100999_1725,0,train
8000_101000_195,0,train
8000_101000_3878,0,train
8000_101005_1410,1,train
8000_101007_1782,0,val
8000_101010_1736,0,train
8000_101011_1536,0,train
8000_101020_606,0,test
8000_101025_3148,0,val
8000_101026_3009,0,train
8000_101029_3442,0,train
8000_101034_2358,0,train
8000_101034_2549,0,train
8000_101034_3685,0,train
8000_101035_331,0,train
8000_101036_1695,0,test
8000_101039_1943,1,train
8000_101043_1030,0,train
8000_101045_3041,1,test
8000_101046_3258,0,train
8000_101051_3255,0,train
8000_101052_1352,0,train
8000_101054_1373,0,train
8000_101058_600,0,val
8000_101059_388,0,test
8000_101063_2062,0,test
8000_101065_2474,1,test
8000_101066_1200,0,val
8000_101066_1623,0,train
8000_101067_450,0,train
8000_101069_2167,0,val
8000_101069_3503,0,train
8000_101076_2865,0,train
8000_101078_3797,0,val
8000_101080_1221,0,train
8000_101084_105,0,test
8000_101086_3066,1,train
8000_101086_4427,0,train
8000_101086_45,0,train
8000_101087_2940,0,train
8000_101088_1390,0,train
8000_101090_1904,0,train
8000_101093_2963,0,val
8000_101094_4197,0,train
8000_101095_1738,0,train
8000_101104_554,0,train
8000_101105_1638,1,train
8000_101107_214,0,train
8000_101107_666,0,test
8000_101108_2513,0,train
8000_101108_3230,1,train
8000_101109_569,0,train
8000_101109_950,0,train
8000_101111_2854,0,val
8000_101113_2083,1,train
8000_101118_4309,1,test
8000_101127_2099,0,test
8000_101127_3177,0,train
8000_101127_4603,1,train
8000_101127_889,0,train
8000_101128_3256,0,val
8000_101129_3154,0,train
8000_101136_2457,1,train
8000_101136_552,0,train
8000_101137_3784,0,train
8000_101147_3067,0,val
8000_101148_4055,1,val
8000_101152_1059,0,test
8000_101153_237,0,train
8000_101153_245,0,train
8000_101153_5011,0,train
8000_101154_4709,1,train
8000_101155_5234,0,train
8000_101157_5228,0,train
8000_101159_665,1,train
8000_101162_3769,0,train
8000_101162_957,0,train
8000_101165_2382,0,train
8000_101165_3456,0,train
8000_101166_3985,0,train
8000_101167_2260,0,train
8000_101177_4788,1,train
8000_101180_4754,0,train
8000_101181_4093,0,train
8000_101182_1582,0,test
8000_101184_3331,0,test
8000_101185_2854,0,test
8000_101185_3895,0,val
8000_101185_485,0,train
8000_101188_3977,1,train
8000_101192_3134,0,val
8000_101200_4315,0,train
8000_101204_3186,1,train
8000_101207_2597,0,train
8000_101211_563,0,train
8000_101212_2000,0,train
8000_101212_889,1,train
8000_101213_2994,0,train
8000_101214_2651,0,train
8000_101217_3010,0,val
8000_101823_537,0,train
8000_101826_1907,0,train
8000_101827_3144,1,train
8000_101835_5002,0,test
8000_101836_2045,0,test
8000_101839_1009,0,train
8000_101841_2682,0,train
8000_101845_4197,0,train
8000_101847_1523,0,train
8000_101847_4606,0,val
8000_101849_2101,0,train
8000_101850_3116,0,train
8000_101855_7,1,train
8000_101856_5666,0,train
8000_101860_3354,1,val
8000_101860_703,1,val
8000_101861_1387,0,train
8000_101861_6654,0,train
8000_101862_5402,0,train
8000_101865_5152,0,train
8000_101868_5983,0,train
8000_101876_1014,0,test
8000_101877_7126,1,train
8000_101878_1859,0,train
8000_101880_3914,0,train
8000_101881_3546,1,train
8000_101882_7226,0,train
8000_101885_6906,0,train
8000_101885_810,0,train
8000_101886_3479,1,train
8000_101886_5234,0,train
8000_101887_4349,0,train
8000_101889_2442,1,train
8000_101889_5260,0,train
8000_101890_1044,0,train
8000_101890_2895,0,train
8000_101890_3096,0,train
8000_101893_7091,0,train
8000_101896_834,0,val
8000_101897_2476,0,train
8000_101899_118,0,train
8000_101900_3785,1,train
8000_101902_3458,0,train
8000_101902_4137,0,val
8000_101903_6051,1,train
8000_101904_479,1,train
8000_101907_6954,0,train
8000_101908_4930,0,train
8000_101908_6365,0,val
8000_101908_7316,0,test
8000_101909_1181,0,train
8000_101911_406,1,train
8000_101911_5897,1,train
8000_101913_1135,1,train
8000_101913_4649,0,train
8000_101915_1813,0,train
8000_101916_3272,0,train
8000_101922_2927,0,train
8000_101926_2176,0,train
8000_101927_1949,0,train
8000_101927_2884,0,train
8000_101936_1455,0,train
8000_101940_1917,0,train
8000_101940_2835,0,train
8000_101941_1148,0,test
8000_101941_2912,0,train
8000_101943_4079,0,train
8000_101946_4364,0,train
8000_101946_6011,0,train
8000_101947_1743,0,test
8000_101949_3487,0,val
8000_101949_697,0,train
8000_101950_1951,0,val
8000_101951_3076,0,train
